Organisation,Type,Acronym,Address,Zipcode,Latitude,Longitude,Website,Tel,Fax,Email,Enquiry/ Feedback Form,Parent Ministry
Enterprise Singapore,Statutory Board,ESG,"230 Victoria Street Level 10, Bugis Junction Office Tower Singapore 188024",188024,1.3000094,103.8538323,http://www.enterprisesg.gov.sg/,6898 1800,-,enquiry@enterprisesg.gov.sg ,,MTI
Government Technology Agency,Statutory Board,GOVTECH,10 Pasir Panjang Road #10-01 Mapletree Business City Singapore 117438,117438,1.2741,103.7989,http://www.tech.gov.sg/,6211 0888,6211 2222,info@tech.gov.sg,,MCI
Health Promotion Board,Statutory Board,HPB,No 3 Second Hospital Avenue Singapore 168937,168937,1.2797,103.8383,http://www.hpb.gov.sg/,64353500,64383848,hpb_mailbox@hpb.gov.sg,,MOH
Health Sciences Authority,Statutory Board,HSA,"11 Outram Road, Singapore 169078",169078,1.2808,103.839,http://www.hsa.gov.sg/,62130838,62130749,HSA_Info@hsa.gov.sg,,MOH
Hotel Licensing Board,Statutory Board,HLB,Tourism Court 1 Orchard Spring Lane Singapore 247729,247729,1.3038,103.8241,http://www.hlb.gov.sg/,67366622,67347226,hlb_info@hlb.gov.sg,,MTI
Housing & Development Board,Statutory Board,HDB,480 Lorong 6 Toa Payoh (310480),310480,1.3321,103.8489,http://www.hdb.gov.sg/,64901111,64901033,hdb@mailbox.hdb.gov.sg,,MND
Infocomm Media Development Authority ,Statutory Board,IMDA,"10 Pasir Panjang Road, #03-01, Mapletree Business City, Singapore 117438",117438,1.274,103.7989,http://www.imda.gov.sg/,6377 3800,6577 3888,info@imda.gov.sg,,MCI
Inland Revenue Authority of Singapore,Statutory Board,IRAS,55 Newton Road Revenue House Singapore 307987,307987,1.319,103.8428,http://www.iras.gov.sg/,63568233,"63513636 (Individual Income Tax) 63514358 (Business Income Tax)63512707 (Tax Clearance) 63513553 (Goods & Services Tax) 63514360 (Corporate Tax) 63513366 (Clubs & Association, Trust, Gaming) 63513694 (Stamp Duty) 63513388 (Estate Duty) 63513638 (Enforcement)",iras@iras.gov.sg,,MOF
Institute of Southeast Asian Studies,Statutory Board,ISEAS,30 Heng Mui Keng Terrace Singapore 119614,119614,1.2916,103.7765,http://www.iseas.edu.sg/,67780955,67781735,admin@iseas.edu.sg,,MOE
Institute of Technical Education,Statutory Board,ITE,2 Ang Mo Kio Drive Singapore 567720,567720,1.3766,103.8565,http://www.ite.edu.sg/,1800-2222 111 (Customer Service Hotline),65902578,itehq@ite.edu.sg,,MOE
Intellectual Property Office of Singapore,Statutory Board,IPOS,51 Bras Basah Road #04-01 Manulife Centre Singapore 189554,189554,1.2977,103.8499,http://www.ipos.gov.sg/,63398616  (General Enquiries),63390252 (Registry of Trade Marks)/63399230 (Registry of Patents)/63382676 (Finance & Admin),,http://www.ifaq.gov.sg/ipos/apps/fcd_faqmain.aspx?pForm=ENQUIRY_FORM (Enquiry/Feedback webpage),MINLAW
JTC Corporation,Statutory Board,JTC,The JTC Summit 8 Jurong Town Hall Road Singapore 609434,609434,1.3309,103.7415,http://www.jtc.gov.sg/,65600056,65655301,askjtc@jtc.gov.sg,,MTI
Land Transport Authority,Statutory Board,LTA,1 Hampshire Road Singapore 219428,219428,1.3088,103.8503,http://www.lta.gov.sg/,1800 - CALL LTA (1800 - 2255 582),"63961918 (Chief Executive), 63961002 (General Office)",,https://www.lta.gov.sg/feedback/,MOT
Majilis Ugama Islam Singapore,Statutory Board,MUIS,Islamic Religious Council of Singapore Singapore Islamic Hub (SIH) 273 Braddell Road Singapore 579702,579702,1.3432,103.8524,http://www.muis.gov.sg/,6359 1199,6253 7572,info@muis.gov.sg,,MCCY
Maritime and Port Authority of Singapore,Statutory Board,MPA,460 Alexandra Road #19-00 PSA Building Singapore 119963,119963,1.2741,103.8019,http://www.mpa.gov.sg/,63751600,62759247,qsm@mpa.gov.sg,,MOT
Ministry of Communication and Information,Ministry,MCI,"140 Hill Street 4th, 5th & 6th Storey Old Hill Street Police Station Singapore 179369",179369,1.287767182,103.842215,http://www.mci.gov.sg/,1800-8379655/ 6837 9655,68379480,MCI_Connects@mci.gov.sg,,MCI
"Ministry of Culture, Community and Youth",Ministry,MCCY,"140 Hill Street, #02-00/#03-00, Old Hill Street Police Station, Singapore 179369",179369,1.2879,103.842215,http://www.mccy.gov.sg/,63383632,68379459,,http://www.ifaq.gov.sg/mccy/apps/Feedback.aspx,MCCY
Ministry of Defence,Ministry,MINDEF,303 Gombak Drive off Upper Bukit Timah Road MINDEF Building Singapore 669645,669645,1.37214,103.7615,http://www.mindef.gov.sg/,1800-3676767,-,MINDEF_Feedback_Unit@defence.gov.sg, https://www.mindef.gov.sg/web/portal/mindef/feedback,MINDEF
Ministry of Education,Ministry,MOE,1 North Buona Vista Drive Singapore 138675,138675,1.30519,103.79047,http://www.moe.gov.sg/,68721110/ 68722220,67755826,contact@moe.gov.sg,https://www.moe.gov.sg/feedback,MOE
Ministry of Environment and Water Resources,Ministry,MEWR,"40 Scotts Road, #24-00 Environment Building, Singapore 228231",228231,1.3105975,103.8340776,http://www.mewr.gov.sg/,67319000,67319456,mewr_feedback@mewr.gov.sg,,MEWR
Ministry of Finance,Ministry,MOF,#10-01 and #06-03 The Treasury 100 High Street Singapore 179434,179434,1.29081,103.84989,http://www.mof.gov.sg/,62259911,63374134,mof_qsm@mof.gov.sg,,MOF
Ministry of Foreign Affairs,Ministry,MFA,Tanglin Singapore 248163,248163,1.3046,103.8183,http://www.mfa.gov.sg/,1800-476-8870/ 63798000/ 63798000/ 63798855,64747885,mfa@mfa.sg,,MFA
Ministry of Health,Ministry,MOH,College of Medicine Building 16 College Road Singapore 169854,169854,1.281923,103.833919,http://www.moh.gov.sg/,63259220/ 1800 225 4122,62241677,moh_info@moh.gov.sg,https://www.moh.gov.sg/content/moh_web/home/about-us/feedback.html,MOH
Ministry of Home Affairs,Ministry,MHA,"New Phoenix Park, 28 Irrawaddy Road Singapore 329560",329560,1.323,103.8456,http://www.mha.gov.sg/,64787010,62546250,mha_feedback@mha.gov.sg,,MHA
Ministry of Law,Ministry,MINLAW,100 High Street #08-02 The Treasury Singapore 179434,179434,1.291,103.84989,http://www.mlaw.gov.sg/,1800 2255 529/ 62255 529,633 28842,,https://www.mlaw.gov.sg/eservices/enquiry/,MINLAW
Ministry of Manpower,Ministry,MOM,"18 Havelock Road, #07-01 Singapore 059764",59764,1.2876,103.8442,http://www.mom.gov.sg/,6438 5122,-,,https://services.mom.gov.sg/efeedback/Forms/efeedback.aspx,MOM
Ministry of National Development,Ministry,MND,"5 Maxwell Road #21-00 & #22-00 Tower Block, MND Complex Singapore 069110",69110,1.2789167,103.8457561,http://www.mnd.gov.sg/,62221211,63257254,mnd_hq@mnd.gov.sg,,MND
Ministry of Social and Family Development,Ministry,MSF,"MSF Building, 512 Thomson Road Singapore 298136",298136,1.3336827,103.8371879,http://www.msf.gov.sg/,63555000,63536695,,https://www.msf.gov.sg/Pages/Contact-Us.aspx,MSF
Ministry of Trade and Industry,Ministry,MTI,100 High Street #09-01 The Treasury Singapore 179434,179434,1.2908079,103.8474995,http://www.mti.gov.sg/,62259911,63327260,mti_email@mti.gov.sg,,MTI
Ministry of Transport,Ministry,MOT,460 Alexandra Road #39-00 & #33-00 Storeys PSA Building Singapore 119963,119963,1.274165,103.798553,http://www.mot.gov.sg/,62707988,63757734,mot@mot.gov.sg,,MOT
Monetary Authority of Singapore,Statutory Board,MAS,"10 Shenton Way, MAS Building, Singapore 079117",79117,1.2744,103.8469,http://www.mas.gov.sg/,62255577,62299229,webmaster@mas.gov.sg,,PMO
Nanyang Polytechnic,Statutory Board,NYP,180 Ang Mo Kio Ave 8 Singapore 569830,569830,1.3798,103.8467,http://www.nyp.edu.sg/,64515115,64525115,askNYP@nyp.edu.sg,,MOE
National Arts Council,Statutory Board,NAC,90 Goodman Road Goodman Arts Centre Blk A #01-01 Singapore 439053,439053,1.3034,103.8855,http://www.nac.gov.sg/,63469400,63460345,nac_feedback@nac.gov.sg,,MCCY
National Council of Social Service,Statutory Board,NCSS,170 Ghim Moh Road #01-02 Singapore 279621,279621,1.3119,103.7891,http://www.ncss.gov.sg/,6210 2500,6468 1012,ncss_webmaster@ncss.gov.sg,,MSF
National Environment Agency,Statutory Board,NEA,"40 Scotts Road, #13-00, Environment Building, Singapore 228231",228231,1.3108,103.836,http://www.nea.gov.sg/,Feedback : 1800 CALL NEA (1800 2255 632),62352611,,http://www.nea.gov.sg/corporate-functions/feedback,MEWR
National Heritage Board,Statutory Board,NHB,61 Stamford Road #03-08 Stamford Court Singapore 178892,178892,1.2946,103.8503,http://www.nhb.gov.sg/,63380000,63323568/63371265,nhb_feedback@nhb.gov.sg,,MCCY
National Library Board,Statutory Board,NLB,100 Victoria Street National Library Building Singapore 188064,188064,1.2982,103.854,http://www.nlb.gov.sg/,63323133,63323233,enquiry@nlb.gov.sg,,MCI
National Parks Board,Statutory Board,NPARKS,"Headquarters, Singapore Botanic Gardens, 1 Cluny Road, Singapore 259569",259569,1.3083,103.8183,http://www.nparks.gov.sg/,64717808,64723033,nparks_mailbox@nparks.gov.sg,,MND
Ngee Ann Polytechnic,Statutory Board,NP,"535 Clementi Rd, Singapore 599489",599489,1.3331,103.777,http://www.np.edu.sg/,Enquiry : 64666555Feedback Hotline : 1800-4670744,64667003,np_qsm@np.edu.sg,,MOE
People's Association,Statutory Board,PA,9 King George's Avenue Singapore 208581,208581,1.3084,103.8601,http://www.pa.gov.sg/,6344 8222,6344 2195,,,MCCY
Personal Data Protection Commission,Statutory Board,PDPC,"10 Pasir Panjang Road, #03-01 Mapletree Business City Singapore 117438",117438,1.274,103.799586,http://www.pdpc.gov.sg/,6377 3131,6577 3888,qsm@imda.gov.sg,https://apps.pdpc.gov.sg/feedback/feedback-form,MCI
Prime Minister's Office,Ministry,PMO,Orchard Road Istana Singapore 238823,238823,1.3070774,103.841014,http://www.pmo.gov.sg/,62358577,63328983(PM)/ 68356621(General Office),pmo_hq@pmo.gov.sg,,PMO
"PUB, The National Water Agency",Statutory Board,PUB,"40 Scotts Road, #22-01 Environment Building Singapore 228231",228231,1.3108,103.84,http://www.pub.gov.sg/,1800-CALL PUB (1800-2255 782),67313020,pub_one@pub.gov.sg,,MEWR
Public Transport Council,Statutory Board,PTC,"510 Thomson Road, #12-03, SLF Building, Singapore 298135",298135,1.3341,103.8393,http://www.ptc.gov.sg/,63549020,62585463,ptc_office@ptc.gov.sg,,MOT
Republic Polytechnic,Statutory Board,RP,"9  Woodlands Avenue 9, Singapore 738964",738964,1.442,103.7857,http://www.rp.edu.sg/,65103000,64151310,one-stop@rp.edu.sg,,MOE
Science Centre Singapore,Statutory Board,SCB,15 Science Centre Road Singapore 609081,609081,1.3324,103.737,http://www.science.edu.sg/,64252500,65659533,feedback@science.edu.sg,,MOE
Sentosa Development Corporation,Statutory Board,SDC,"39 Artillery Avenue, Sentosa, Singapore 099958",99958,1.2502,103.8273,http://www.sentosa.gov.sg/,6275 0388,6274 7749,guest_services@sentosa.com.sg,,MTI
Singapore Accounting Commission,Statutory Board,SAC,10 Anson Road #05-18 International Plaza Singapore 079903,79903,1.2756,103.8463,http://www.sac.gov.sg/,6325 0518,6226 3386,enquiries@sac.gov.sg,,MOF
Singapore Corporation of Rehabilitative Enterprises,Statutory Board,SCORE,407 Upper Changi Road North 20km (Within Prison HQ Complex) Singapore 507658,507658,1.3701,103.9807,http://www.score.gov.sg/,62142801,67420078,score_Contact_Us@score.gov.sg,,MHA
Singapore Examinations and Assessment Board,Statutory Board,SEAB,3 Geylang Bahru Lane Singapore 339626,339626,1.324,103.8706,http://www.seab.gov.sg/,6872 2220,6775 5826,contact@moe.gov.sg,,MOE
Singapore Labour Foundation,Statutory Board,SLF,"1 Marina Boulevard Level 10, One Marina Boulevard, Singapore 018989",18989,1.2821,103.8526,https://www.gov.sg/sgdi/ministries/mom/statutory-boards/slf,6213 8585,6327 3700,general@slf.gov.sg,,MOM
Singapore Land Authority,Statutory Board,SLA,55 Newton Road #12-01 Revenue House Singapore 307987,307987,1.3191,103.8428,http://www.sla.gov.sg/,63239829,63239937,sla_enquiry@sla.gov.sg,,MINLAW
Singapore Polytechnic,Statutory Board,SP,500 Dover Road Singapore 139651,139651,1.3069,103.7816,http://www.sp.edu.sg/,67751133,68706189,contactus@sp.edu.sg,,MOE
Singapore Tourism Board,Statutory Board,STB,1 Orchard Spring Lane Tourism Court Singapore 247729,247729,1.3038,103.825,http://www.stb.gov.sg/,6736 6622,6736 9423,stb_feedback@stb.gov.sg,,MTI
SkillsFuture Singapore,Statutory Board,SSG,1 Marina Boulevard #18-01 One Marina Boulevard Singapore 018989,18989,1.2818,103.8526,http://www.wsg.gov.sg/,65121322,-,,https://portal.ssg-wsg.gov.sg/feedback,MOM
Sport Singapore,Statutory Board,SportSG,3 Stadium Drive Singapore 397630,397630,1.3034,103.8765,http://www.sportsingapore.gov.sg/,65005000,64409205,,https://members.myactivesg.com/feedback,MCCY
Temasek Polytechnic,Statutory Board,TP,21 Tampines Avenue 1 Singapore 529757,529757,1.346,103.9341,http://www.tp.edu.sg/,67882000,67898220,enquiry@tp.edu.sg,,MOE
Tote Board,Statutory Board,TOTE BOARD,210 Middle Road #06-01 Singapore 188994,188994,1.301,103.851,http://www.toteboard.gov.sg/,62168900,62168992,toteboard_enquiries@toteboard.gov.sg,,MOF
Urban Redevelopment Authority,Statutory Board,URA,45 Maxwell Road The URA Centre Singapore 069118,69118,1.2794,103.845,http://www.ura.gov.sg/,62216666,-,,https://www.ura.gov.sg/feedbackWeb/contactus_feedback.jsp,MND
Workforce Singapore,Statutory Board,WSG,1 Marina Boulevard #18-01 One Marina Boulevard Singapore 018989,18989,1.2819,103.8526,http://www.wsg.gov.sg/,68835885,65121111,,https://portal.ssg-wsg.gov.sg/feedback,MOM
