Waste Type,"Waste
Disposed
of (tonne)","Total
Waste
Recycled
(tonne)","Total Waste
Generated
(tonne)","Recycling
Rate",Year
Non-ferrous Metals,"13,000","72,000","85,000",85%,"2,008"
Used Slag,"5,700","560,500","566,200",99%,"2,008"
Sludge,"114,600",0,"114,600",0%,"2,008"
Glass,"47,100","10,000","57,100",18%,"2,008"
Textile/Leather,"82,300","11,000","93,300",12%,"2,008"
Scrap Tyres,"3,000","22,100","25,100",88%,"2,008"
"Others (stones, ceramics & rubber etc)","300,300","8,000","308,300",3%,"2,008"
Total,"2,627,600","3,342,600","5,970,200",56%,"2,008"
Food waste,"507,700","51,200","558,900",9%,"2,007"
Paper/Cardboard,"583,900","619,000","1,202,900",51%,"2,007"
Plastics,"584,800","75,000","659,800",11%,"2,007"
Construction Debris,"19,000","759,300","778,300",98%,"2,007"
Wood/Timber,"118,400","127,800","246,200",52%,"2,007"
Horticultural Waste,"133,500","91,100","224,600",41%,"2,007"
Ferrous Metal,"68,500","668,000","736,500",91%,"2,007"
Non-ferrous Metals,"16,700","75,600","92,300",82%,"2,007"
Used Slag,"7,200","520,000","527,200",99%,"2,007"
Sludge,"124,600",0,"124,600",0%,"2,007"
Glass,"59,500","5,800","65,300",9%,"2,007"
Textile/Leather,"104,100","6,000","110,100",5%,"2,007"
Scrap Tyres,"3,500","22,000","25,500",86%,"2,007"
"Others (stones, ceramics & rubber etc)","234,600","14,000","248,600",6%,"2,007"
Total,"2,566,000","3,034,800","5,600,800",54%,"2,007"
Food waste,"498,000","44,700","542,700",8%,"2,006"
Paper/Cardboard,"544,900","571,400","1,116,300",51%,"2,006"
Plastics,"579,000","77,800","656,800",12%,"2,006"
Construction Debris,"15,000","604,000","619,000",98%,"2,006"
Wood/Timber,"142,000","81,700","223,700",37%,"2,006"
Horticultural Waste,"144,000","87,000","231,000",38%,"2,006"
Ferrous Metals,"68,500","657,400","725,900",91%,"2,006"
Non-ferrous Metals,"16,000","70,700","86,700",82%,"2,006"
Used Slag,"53,600","417,000","470,600",89%,"2,006"
Sludge,"126,800",0,"126,800",0%,"2,006"
Glass,"56,600","6,400","63,000",10%,"2,006"
Textile/Leather,"87,700","4,100","91,800",4%,"2,006"
Scrap Tyres,"4,500","19,400","23,900",81%,"2,006"
"Others (stones, ceramics & rubber etc)","227,000","15,300","242,300",6%,"2,006"
Total,"2,563,600","2,656,900","5,220,500",51%,"2,006"
Food waste,"495,000","36,500","531,500",7%,"2,005"
Paper/Cardboard,"558,100","540,500","1,098,600",49%,"2,005"
Plastics,"588,800","86,000","674,800",13%,"2,005"
Construction Debris,"27,200","465,300","492,500",94%,"2,005"
Wood/Timber,"149,300","90,000","239,300",38%,"2,005"
Horticultural Waste,"98,500","101,000","199,500",51%,"2,005"
Ferrous Metals,"69,200","749,100","818,300",92%,"2,005"
Non-ferrous Metals,"14,700","74,700","89,400",84%,"2,005"
Used Slag,"83,500","298,900","382,400",78%,"2,005"
Sludge,"98,300",0,"98,300",0%,"2,005"
Glass,"58,800","3,800","62,600",6%,"2,005"
Textile/Leather,"85,000","4,000.00","89,000",4%,"2,005"
Scrap Tyres,"6,000","10,800","16,800",64%,"2,005"
"Others (stones, ceramics & rubber etc)","216,400","8,800","225,200",4%,"2,005"
Total,"2,548,800","2,469,400","5,018,200",49%,"2,005"
Food waste,"500,000","31,100","531,100",6%,"2,004"
Paper/Cardboard,"612,200","519,900","1,132,100",46%,"2,004"
Plastics,"609,000","74,100","683,100",11%,"2,004"
Construction Debris,"38,000","471,000","509,000",93%,"2,004"
Wood/Timber,"148,600","73,700","222,300",33%,"2,004"
Horticultural Waste,"99,100","127,900","227,000",56%,"2,004"
Ferrous Metals,"70,300","649,900","720,200",90%,"2,004"
Non-ferrous Metals,"15,100","71,800","86,900",83%,"2,004"
Used Slag,"7,600","259,600","267,200",97%,"2,004"
Sludge,"93,900",0,"93,900",0%,"2,004"
Glass,"68,700","4,900","73,600",7%,"2,004"
Textile/Leather,"109,500",5000,"114,500",4%,"2,004"
Scrap Tyres,"7,500","7,200","14,700",49%,"2,004"
Others,"103,100","11,000","114,100",10%,"2,004"
Total,"2,482,600","2,307,100","4,789,700",48%,"2,004"
Food waste,"515,100","32,900","548,000",6%,2003
Paper/Cardboard,"618,500","466,200","1,084,700",43%,2003
Plastics,"540,800","39,100","579,900",7%,2003
Construction Debris,"24,600","398,300","422,900",94%,2003
Wood/Timber,"172,600","40,800","213,400",19%,2003
Horticultural Waste,"185,300","119,300","304,600",39%,2003
Ferrous Metals,"57,700","799,000","856,700",93%,2003
Non-ferrous Metals,"18,100","75,800","93,900",81%,2003
Used Slag,"21,800","238,500","260,300",92%,2003
Sludge,"88,500",0,"88,500",0%,2003
Glass,"59,300","6,200","65,500",9%,2003
Textile/Leather,"90,700",900,"91,600",1%,2003
Scrap Tyres,"8,200","6,200","14,400",43%,2003
"Others (stones, ceramics & rubber etc)","103,800",0,"103,800",0%,2003
Total,"2,505,000","2,223,200","4,728,200",47%,2003
Construction debris,"9,400","1,599,900","1,609,300",99%,"2,017"
Ferrous metal,"7,800","1,371,000","1,378,800",99%,"2,017"
Used slag,"3,100","269,400","272,500",99%,"2,017"
Non-ferrous metals,"1,500","92,200","93,700",98%,"2,017"
Scrap tyres,"2,900","33,000","35,900",92%,"2,017"
Wood,"97,300","326,800","424,100",77%,"2,017"
Horticultural waste,"107,600","220,700","328,300",67%,"2,017"
Paper/Cardboard,"576,000","568,800","1,144,800",50%,"2,017"
Glass,"58,900","12,400","71,300",17%,"2,017"
Food,"676,800","133,000","809,800",16%,"2,017"
Ash and sludge,"214,800","28,600","243,400",12%,"2,017"
Plastic,"763,400","51,800","815,200",6%,"2,017"
Textile/Leather,"141,200","9,600","150,800",6%,"2,017"
"Others (stones, ceramic, rubber, etc.)","319,300","7,100","326,400",2%,"2,017"
Total,"2,980,000","4,724,300","7,704,300",61%,"2,017"
