Year,Event,Division,Gender,School,Name,Position,Timing(s)
2010,200 Metres ,A,Boys,RJC,Seow Yeong Yang,2,22.74
2010,200 Metres ,A,Boys,RJC,Calvin Khor Zhi Sheng,3,23.21
2010,200 Metres ,A,Boys,HCJC,Liam Ting Wei,4,23.28
2010,200 Metres ,A,Boys,NJC,Jason Tan Wei Jie,5,23.28
2010,200 Metres ,A,Boys,ACJC,Alastair Tan,6,23.5
2010,200 Metres ,A,Boys,VJC,Dylan Teoh Yung Tye,7,23.85
2010,200 Metres ,A,Boys,NJC,Ng Wei Sheng Dominic,8,23.86
2011,100 Metres ,A,Boys,HCJC,Tan Zong Yang,1,10.99
2011,100 Metres ,A,Boys,HCJC,Chan Zhiyuan Donovan,2,11.03
2011,100 Metres ,A,Boys,HCJC,Lee Hong Yi,3,11.17
2011,100 Metres ,A,Boys,ACJC,Khairyll Amri Bin Tumadi,4,11.2
2011,100 Metres ,A,Boys,RJC,Calvin Khor Zhi Sheng,5,11.21
2011,100 Metres ,A,Boys,SRJC,Wong Ming,6,11.33
2011,100 Metres ,A,Boys,CJC,Joel Low,7,11.42
2011,100 Metres ,A,Boys,SAJC,Amar Harith,8,11.62
2011,200 Metres ,A,Boys,HCJC,Tan Zong Yang,1,22.82
2011,200 Metres ,A,Boys,RJC,Ng Chin Hui ,2,22.4
2011,200 Metres ,A,Boys,HCJC,Chan Zhiyuan Donovan,3,22.45
2011,200 Metres ,A,Boys,ACJC,R. Avinash,4,22.5
2011,200 Metres ,A,Boys,RJC,Calvin Khor Zhi Sheng,5,22.66
2011,200 Metres ,A,Boys,SRJC,Wong Ming,6,23.12
2011,200 Metres ,A,Boys,ACJC,Nicholas Chan Yu Herng,7,23.14
2011,200 Metres ,A,Boys,BV,Afiqul Adib B Zulhilmi,8,23.29
2012,100 Metres ,A,Boys,HCJC,Chan Zhiyuan Donovan,1,10.7
2012,100 Metres ,A,Boys,HCJC,Tan Zong Yang,2,10.92
2012,100 Metres ,A,Boys,RJC,Toh Ren Yi Ezra,3,11.14
2012,100 Metres ,A,Boys,MI,Muhammad Haikal Bin Ismail,4,11.29
2012,100 Metres ,A,Boys,SRJC,Wong Ming,5,11.3
2012,100 Metres ,A,Boys,RJC,Darren Koh Chee Yung,6,11.31
2012,100 Metres ,A,Boys,VJC,Prince Leleon Lau,7,11.49
2012,100 Metres ,A,Boys,AJC,Law Zer Wei Joshua,8,11.65
2012,200 Metres ,A,Boys,HCJC,Chan Zhiyuan Donovan,1,21.75
2012,200 Metres ,A,Boys,HCJC,Tan Zong Yang,2,22
2012,200 Metres ,A,Boys,RJC,Ng Chin Hui ,3,22.19
2012,200 Metres ,A,Boys,SRJC,Wong Ming,4,22.81
2012,200 Metres ,A,Boys,RJC,Toh Ren Yi Ezra,5,22.83
2012,200 Metres ,A,Boys,ACSI,Dillon Wee Xing Yu,6,23.37
2012,200 Metres ,A,Boys,ACJC,Nicholas Chan Yu Herng,7,23.47
2012,200 Metres ,A,Boys,AJC,Law Zer Wei Joshua,8,23.57
2013,100 Metres ,A,Boys,AIS,V S Mohamed Jawhardeen,1,10.79
2013,100 Metres ,A,Boys,RJC,Toh Ren Yi Ezra,2,10.99
2013,100 Metres ,A,Boys,VJC,Prince Leleon Lau,3,11.17
2013,100 Metres ,A,Boys,ACJC,Clement Chan Zi Yang,4,11.29
2013,100 Metres ,A,Boys,HCJC,Raymond Scott Lee Chian Hoong,5,11.32
2013,100 Metres ,A,Boys,TPJC,Poh Zhi Kang Shawn,6,11.4
2013,100 Metres ,A,Boys,AJC,Zachery Tan Ven Xiang,7,11.48
2013,100 Metres ,A,Boys,ACJC,Wayne Yap Wen Xuan,8,11.56
2013,200 Metres ,A,Boys,AIS,V S Mohamed Jawhardeen,1,21.83
2013,200 Metres ,A,Boys,RJC,Toh Ren Yi Ezra,2,22.47
2013,200 Metres ,A,Boys,ACJC,Clement Chan Zi Yang,3,22.69
2013,200 Metres ,A,Boys,ACJC,Zubin Percy Muncherji,4,22.76
2013,200 Metres ,A,Boys,VJC,Prince Leleon Lau,5,22.91
2013,200 Metres ,A,Boys,TPJC,Poh Zhi Kang Shawn,6,23.15
2013,200 Metres ,A,Boys,CJC,Chua Heng Quan,7,23.41
2013,200 Metres ,A,Boys,AJC,Jasvinder Singh,8,23.78
2014,100 Metres ,A,Boys,RJC,Chin Yew Chung,1,11.23
2014,100 Metres ,A,Boys,HCJC,Raymond Scott Lee Chian Hoong,2,11.36
2014,100 Metres ,A,Boys,RJC,Ang Ding Hui ,3,11.4
2014,100 Metres ,A,Boys,ACJC,Wang Xian Yang Jerrel ,4,11.42
2014,100 Metres ,A,Boys,ACSI,Ong Kah Yong Timothy,5,11.53
2014,100 Metres ,A,Boys,TPJC,Poh Zhi Kang Shawn,6,11.55
2014,100 Metres ,A,Boys,SAJC,Quah Jia Yong,7,11.65
2014,100 Metres ,A,Boys,CJC,Chan Zhe Ying,8,11.81
2014,200 Metres ,A,Boys,ACJC,Zubin Percy Muncherji,1,22.32
2014,200 Metres ,A,Boys,SAJC,Quah Jia Yong,2,23.24
2014,200 Metres ,A,Boys,TPJC,Poh Zhi Kang Shawn,3,23.41
2014,200 Metres ,A,Boys,RJC,Chin Yew Chung,4,23.42
2014,200 Metres ,A,Boys,ACSI,Mitchell TehYee Cher,5,23.47
2014,200 Metres ,A,Boys,NJC,Koo Kai Siang,6,23.81
2014,200 Metres ,A,Boys,HCJC,Chua Cheng Tat,7,24.01
2014,200 Metres ,A,Boys,ACSI,Ong Kah Yong Timothy,8,25.88
2015,100 Metres ,A,Boys,MI,Muhammad Haikal Bin Ismail,1,11.01
2015,100 Metres ,A,Boys,RJC,Chin Yew Chung,2,11.18
2015,100 Metres ,A,Boys,ACSI,Ong Kah Yong Timothy,3,11.27
2015,100 Metres ,A,Boys,HCJC,Chua Cheng Tat,4,11.42
2015,100 Metres ,A,Boys,HCJC,Elgene Chng Junyuan,5,11.54
2015,100 Metres ,A,Boys,YJC,Muhammad Mirza B Mohtar,6,11.6
2015,100 Metres ,A,Boys,RJC,Lee Jun Lei,7,11.62
2015,100 Metres ,A,Boys,RJC,Poy Meng Han Ian,8,11.63
2015,200 Metres ,A,Boys,MI,Muhammad Haikal Bin Ismail,1,22.51
2015,200 Metres ,A,Boys,RJC,Chin Yew Chung,2,22.89
2015,200 Metres ,A,Boys,ACSI,Ong Kah Yong Timothy,3,23.2
2015,200 Metres ,A,Boys,ACSI,Mitchell TehYee Cher,4,23.2
2015,200 Metres ,A,Boys,HCJC,Benedict Tjoeng Ruiyan,5,23.31
2015,200 Metres ,A,Boys,HCJC,Chua Cheng Tat,6,23.33
2015,200 Metres ,A,Boys,SAJC,Kam Russell I-Zheng,7,23.51
2015,200 Metres ,A,Boys,RJC,Lee Jun Lei,8,23.53
2016,100 Metres ,A,Boys,CJC,S Shahmee Ruzain,1,11.22
2016,100 Metres ,A,Boys,RJC,Ryan James Tan Wei Ren,2,11.35
2016,100 Metres ,A,Boys,RJC,Prem Sathaimoorthy,3,11.38
2016,100 Metres ,A,Boys,RJC,Joshua Yap Sae Yong,4,11.42
2016,100 Metres ,A,Boys,SAJC,Mun Yit Hung Nigel,5,11.44
2016,100 Metres ,A,Boys,TPJC,Lim En Sheng Merlin,6,11.61
2016,100 Metres ,A,Boys,ACJC,Teo Wei Yang Elroy,7,11.63
2016,100 Metres ,A,Boys,HCJC,Elgene Chng Junyuan,8,12.27
2016,200 Metres ,A,Boys,CJC,S Shahmee Ruzain,1,22.49
2016,200 Metres ,A,Boys,SAJC,Dinesh Hulbert S/O Anthony Lawrence,2,22.76
2016,200 Metres ,A,Boys,HCJC,Elgene Chng Junyuan,3,22.93
2016,200 Metres ,A,Boys,SAJC,Mun Yit Hung Nigel,4,23.03
2016,200 Metres ,A,Boys,RJC,Ryan James Tan Wei Ren,5,23.51
2016,200 Metres ,A,Boys,RJC,Ringo Han Jia Ming,6,23.52
2016,200 Metres ,A,Boys,RJC,Joshua Yap Sae Yong,7,23.71
2016,200 Metres ,A,Boys,SSP,Rayhan B Fairuz,8,23.92
2002,100 Metres ,A,Girls,NJC,Sheena Hu Min'en,1,12.96
2002,100 Metres ,A,Girls,AJC,San Thit Oo,2,13.18
2002,100 Metres ,A,Girls,VJC,Kong Jiayi Lorraine,3,13.25
2002,100 Metres ,A,Girls,NJC,Goh Xu Zi Anastasia,4,13.29
2002,100 Metres ,A,Girls,SRJC,Tan Yu Min,5,13.66
2002,100 Metres ,A,Girls,AJC,Kok Chuan Tin,6,13.69
2002,100 Metres ,A,Girls,PJC,Quek Si Min,7,14
2002,100 Metres ,A,Girls,RJC,Yap Zhu Li,8,14.02
2002,200 Metres ,A,Girls,NJC,Goh Xu Zi Anastasia,1,26.75
2002,200 Metres ,A,Girls,NJC,Sheena Hu Min'en,2,27.14
2002,200 Metres ,A,Girls,NJC,Teo Sok Li Benita,3,27.33
2002,200 Metres ,A,Girls,AJC,San Thit Oo,4,27.38
2002,200 Metres ,A,Girls,AJC,Neo Sok Hong,5,27.54
2002,200 Metres ,A,Girls,VJC,Kong Jiayi Lorraine,6,27.93
2002,200 Metres ,A,Girls,RJC,Liu Meifang,7,28.78
2002,200 Metres ,A,Girls,RJC,Yap Zhu Li,8,28.92
2003,100 Metres ,A,Girls,NJC,Goh Xu Zi Anastasia,1,13.06
2003,100 Metres ,A,Girls,AJC,San Thit Oo,2,13.34
2003,100 Metres ,A,Girls,CJC,Tan Toon Cheng,3,13.71
2003,100 Metres ,A,Girls,ACJC,Pang Cui-Ying Maria Judith,4,13.97
2003,100 Metres ,A,Girls,VJC,Yeo Siew Fen Josephine,5,14.1
2003,100 Metres ,A,Girls,VJC,Jacqueline-Ann French,6,14.2
2003,100 Metres ,A,Girls,NJC,Lai Xiu Min Jessica,7,14.31
2003,100 Metres ,A,Girls,JJC,Yang Xueting,8,14.44
2003,200 Metres ,A,Girls,NJC,Goh Xu Zi Anastasia,1,26.4
2003,200 Metres ,A,Girls,AMK,Cheng Pei En,2,27.14
2003,200 Metres ,A,Girls,AJC,San Thit Oo,3,27.26
2003,200 Metres ,A,Girls,NJC,Teo Sok Li Benita,4,27.39
2003,200 Metres ,A,Girls,AJC,Neo Sok Hong,5,27.75
2003,200 Metres ,A,Girls,HCJC,Tan Xiaoying,6,28.25
2003,200 Metres ,A,Girls,RJC,Liu Meifang,7,28.45
2003,200 Metres ,A,Girls,ACJC,Kwa Yan Ling Andrea,8,28.75
2004,100 Metres ,A,Girls,NJC,Lee Yan Lin,1,12.59
2004,100 Metres ,A,Girls,NJC,Ann Siao Mei,2,12.68
2004,100 Metres ,A,Girls,VJC,Helen Scida,3,12.86
2004,100 Metres ,A,Girls,HCJC,Leong Su Ying,4,13.23
2004,100 Metres ,A,Girls,NJC,Lai Xiu Min Jessica,5,13.56
2004,100 Metres ,A,Girls,TJC,Roshini Mohan Krishnan,6,13.63
2004,100 Metres ,A,Girls,VJC,Loke Wei Yolk,7,13.8
2004,100 Metres ,A,Girls,ACJC,Pang Cui-Ying Maria Judith,8,13.93
2004,200 Metres ,A,Girls,NJC,Lee Yan Lin,1,25.82
2004,200 Metres ,A,Girls,CJC,Teo Bao Ling Amanda,2,26.49
2004,200 Metres ,A,Girls,VJC,Helen Scida,3,26.64
2004,200 Metres ,A,Girls,NJC,Choo Sze-Min Amanda,4,27.41
2004,200 Metres ,A,Girls,HCJC,Leong Su Ying,5,27.77
2004,200 Metres ,A,Girls,NJC,Lai Xiu Min Jessica,6,28.53
2004,200 Metres ,A,Girls,VJC,Jacqueline-Ann French,7,29.28
2004,200 Metres ,A,Girls,ACJC,Kwok Ying Christine,8,77.99
2005,100 Metres ,A,Girls,NJC,Lee Yan Lin,1,12.73
2005,100 Metres ,A,Girls,NJC,Ann Siao Mei,2,12.91
2005,100 Metres ,A,Girls,HCJC,Leong Su Ying,3,13.36
2005,100 Metres ,A,Girls,RJC,Wong Kit Fei,4,13.37
2005,100 Metres ,A,Girls,IJC,Lehana Guo,5,13.54
2005,100 Metres ,A,Girls,VJC,Helen Scida,6,13.59
2005,100 Metres ,A,Girls,RJC,Ang Xiao Hong Joella,7,13.67
2005,100 Metres ,A,Girls,TPJC,Genever Tan Bee Lu,8,13.67
2005,200 Metres ,A,Girls,NJC,Lee Yan Lin,1,25.61
2005,200 Metres ,A,Girls,CJC,Teo Bao Ling Amanda,2,25.97
2005,200 Metres ,A,Girls,NJC,Ann Siao Mei,3,26.05
2005,200 Metres ,A,Girls,HCJC,Leong Su Ying,4,27.04
2005,200 Metres ,A,Girls,IJC,Lehana Guo,5,27.41
2005,200 Metres ,A,Girls,RJC,Ang Xiao Hong Joella,6,27.84
2005,200 Metres ,A,Girls,VJC,Loke Wei Yolk,7,28.73
2005,200 Metres ,A,Girls,VJC,Helen Scida,8,28.8
2006,100 Metres ,A,Girls,RJC,Ang Xiao Hong Joella,1,13.1
2006,100 Metres ,A,Girls,ACJC,Tioh Shu Yuan Cassondra,2,13.2
2006,100 Metres ,A,Girls,NJC,Yeo Hui En Sharon,3,13.22
2006,100 Metres ,A,Girls,TJC,Cherrin Wang Pei Qi,4,13.25
2006,100 Metres ,A,Girls,IJC,Lehana Guo,5,13.26
2006,100 Metres ,A,Girls,NJC,Ang Yu Jia,6,13.27
2006,100 Metres ,A,Girls,TPJC,Genever Tan Bee Lu,7,15.54
2006,100 Metres ,A,Girls,VJC,Jesslyn Low,8,15.54
2006,200 Metres ,A,Girls,CJC,Teo Bao Ling Amanda,1,26.4
2006,200 Metres ,A,Girls,RJC,Ang Xiao Hong Joella,2,26.75
2006,200 Metres ,A,Girls,ACJC,Tioh Shu Yuan Cassondra,3,27.1
2006,200 Metres ,A,Girls,IJC,Lehana Guo,4,27.61
2006,200 Metres ,A,Girls,NJC,Ang Yu Jia,5,27.82
2006,200 Metres ,A,Girls,RJC,Lee Yan Fen,6,28.07
2006,200 Metres ,A,Girls,NJC,Tan Ee Woon Esther,7,28.47
2006,200 Metres ,A,Girls,ACJC,Tan Hui Ping,8,28.72
2007,100 Metres ,A,Girls,RJC,Lee Yan Fen,1,13.13
2007,100 Metres ,A,Girls,HCJC,Lim Shanru,2,13.16
2007,100 Metres ,A,Girls,NJC,Ang Yu Jia,3,13.23
2007,100 Metres ,A,Girls,HCJC,Tan Xue Ling Amanda,4,13.24
2007,100 Metres ,A,Girls,RJC,Sabrina Ng Livia,5,13.26
2007,100 Metres ,A,Girls,HCJC,Hsien Li Jie,6,13.33
2007,100 Metres ,A,Girls,VJC,Ma Hua Jia,7,13.55
2007,100 Metres ,A,Girls,ACJC,Tan Hui Ping,8,13.64
2007,200 Metres ,A,Girls,RJC,Divya Moorthy,1,26.76
2007,200 Metres ,A,Girls,NJC,Shalom Danielle See,2,27.21
2007,200 Metres ,A,Girls,MI,Melanie Francis Lansakara,3,27.47
2007,200 Metres ,A,Girls,NJC,Ang Yu Jia,4,27.67
2007,200 Metres ,A,Girls,RJC,Lee Yan Fen,5,27.9
2007,200 Metres ,A,Girls,CJC,Ang Peixuan,6,28.11
2007,200 Metres ,A,Girls,NJC,Tan Ee Woon Esther,7,28.39
2007,200 Metres ,A,Girls,HCJC,Allison Tan Pek Yong,8,28.49
2008,100 Metres ,A,Girls,RJC,Joanna Chng,1,12.86
2008,100 Metres ,A,Girls,HCJC,Chong Jia Yuan,2,13.01
2008,100 Metres ,A,Girls,HCJC,Tan Xue Ling Amanda,3,13.33
2008,100 Metres ,A,Girls,HCJC,Lee Jia Wen,4,13.57
2008,100 Metres ,A,Girls,VJC,Cerigwen Ng,5,13.63
2008,100 Metres ,A,Girls,RJC,Quey Li Zi Amanda,6,13.71
2008,100 Metres ,A,Girls,NJC,Ng Wan Ching,7,13.93
2008,100 Metres ,A,Girls,MJC,Nada Bte Ahmad Khalid,8,14.16
2008,200 Metres ,A,Girls,RJC,Joanna Chng,1,26.6
2008,200 Metres ,A,Girls,NJC,Shalom Danielle See,2,26.66
2008,200 Metres ,A,Girls,HCJC,Chong Jia Yuan,3,26.7
2008,200 Metres ,A,Girls,CJC,Ang Peixuan,4,27.52
2008,200 Metres ,A,Girls,HCJC,Hsien Li Jie,5,27.99
2008,200 Metres ,A,Girls,HCJC,Allison Tan Pek Yong,6,28.14
2008,200 Metres ,A,Girls,AJC,Koh Shu Min Clarissa,7,29.14
2008,200 Metres ,A,Girls,NJC,Liow Xin Ru,8,29.3
2009,100 Metres ,A,Girls,RJC,Joanna Chng,1,12.51
2009,100 Metres ,A,Girls,HCJC,Chong Jia Yuan,2,12.68
2009,100 Metres ,A,Girls,TJC,Fok Yan Ting Melissa,3,13
2009,100 Metres ,A,Girls,HCJC,Lee Jia Wen,4,13.11
2009,100 Metres ,A,Girls,VJC,Grace Ng,5,13.2
2009,100 Metres ,A,Girls,VJC,Tan Shi Ying,6,13.32
2009,100 Metres ,A,Girls,ACJC,Tyanne Choo,7,13.47
2009,100 Metres ,A,Girls,PLMGS,Samantha Ong May Yen,8,13.69
2009,200 Metres ,A,Girls,RJC,Fiona Ng Yee Lin,1,25.88
2009,200 Metres ,A,Girls,HCJC,Chong Jia Yuan,2,26.19
2009,200 Metres ,A,Girls,RJC,Joanna Chng,3,26.37
2009,200 Metres ,A,Girls,TJC,Fok Yan Ting Melissa,4,27.46
2009,200 Metres ,A,Girls,VJC,Tan Shi Ying,5,28.17
