english	mandarin
Aerospace Manpower Landscape Study	航空业机械人力调查
Affordability (premiums)	保费可负担程度
Africa-Singapore Business Forum (ASBF)	非洲-新加坡商务论坛
Aftercare & Beyond Phase	狱后监护
Aftercare Case Management	狱后个案监护管理
AG Home	AG之家
Age Friendly Services	便于年长人士使用的服务
Age limit	年龄顶限
Age Management Grant	年长员工管理津贴
Age next birthday	下个生日的年龄
Ageing-in-Place Priority Scheme (APPS)	原地养老优先计划
Age-in-place	原地养老
Agency for Integrated Care (AIC)	护联中心
Agency For Science, Technology And Research (A*STAR)	新加坡科技研究局 (新科研)
Agreement between New Zealand and Singapore on a Closer Economic Partnership (ANZSCEP)	新西兰-新加坡紧密经济伙伴关系协议
Agreement for Lease	购屋协议
AH HOOD ROAD	亚佛路
AH SOO GARDEN	阿苏花园
AH SOO WALK	阿苏径
AH-64D Apache Attack Helicopter	AH-64D 型阿帕奇攻击直升机
AHMADIYYA CEMETERY PATH 1	阿玛狄亚坟场1小径
AI.SG	新加坡全国人工智能核心
AIDA STREET	爱达街
Aids to Navigation Fund	国际助航基金
Air Defence and Operations Command (ADOC)	空防作战指挥部
Air Force	空军部队
Air Force Training Command	空军训练指挥部
Air Logistics and Ground Handling Manpower Landscape Study	航空物流与地勤服务人力调查
Air Services Agreement (ASA)	航空服务协定
Air Traffic Management Research Institute	空中交通管理研究机构
Aircrash Exercise	空难演习
AIRLINE ROAD	航空公司路
AIRPORT BOULEVARD	机场林荫道
AIRPORT CARGO ROAD	机场货运路
Airport Logistics Park of Singapore (ALPS)	新加坡机场物流园区
AIRPORT ROAD	机场路
AKYAB ROAD	爱业路
Alarm Signal	警惕讯号
Alarm System	警报系统
ALBERT STREET	亚巴街
ALBERT WINSEMIUS LANE	温斯敏巷
Alex Yam Ziming	任梓铭
ALEXANDRA ARCH	亚历山大拱桥
ALEXANDRA LANE	亚历山大巷
ALEXANDRA ROAD	亚历山大路
ALEXANDRA TERRACE	亚历山大台
ALEXANDRA VIEW	亚历山大景
Aliwal Arts Centre	阿里哇艺术中心
ALIWAL STREET	阿里哇街
ALJUNIED AVENUE 1	阿裕尼1道
ALJUNIED AVENUE 2	阿裕尼2道
ALJUNIED AVENUE 3	阿裕尼3道
ALJUNIED AVENUE 4	阿裕尼4道
ALJUNIED AVENUE 5	阿裕尼5道
Aljunied Community Centre	阿裕尼民众联络所
ALJUNIED CRESCENT	阿裕尼弯
ALJUNIED FLYOVER	阿裕尼立交桥
Aljunied GRC	阿裕尼集选区
Aljunied MRT Station	阿裕尼地铁站
ALJUNIED ROAD	阿裕尼路
ALJUNIED WALK	阿裕尼径
ALJUNIED WEST FLYOVER	阿裕尼西立交桥
ALKAFF BRIDGE	阿卡夫桥
ALKAFF CRESCENT	阿卡夫弯
All Clear Signal	警报解除讯号
ALLAMANDA GROVE	阿拉曼达林
ALLANBROOKE ROAD	爱兰布鲁路
ALLENBY ROAD	爱伦比路
Allied Educators (AED)	协作教育工作者
Allied Health Professionals	综合医疗保健人员
Allocation Boundary	分配范围
Allotted Day	分配日期
Allowable Business Expenses	可扣税营业支出
Allowable Tenure	允许的租用期
Allowable Use	允许用途
ALMOND AVENUE	杏仁道
ALMOND CRESCENT	杏仁弯
ALMOND STREET	杏仁街
ALNWICK ROAD	安尼克路
ALPS AVENUE	机场后勤园道
Alternative Site	替代地点
AMA KENG ROAD	亚妈宫路
AMAN ISLAND	雅曼(岛)
Amateur artists	业余艺术工作者
Ambassador-at-Large	巡回大使
AMBER GARDENS	安珀花园
AMBER ROAD	安珀路
Amendment	修正
Amenities	设施
Amoy Quee Camp	宏茂桂军营
AMOY STREET	厦门街
AMPANG WALK	安邦径
Amrin Amin	安宁阿敏
An Hai Association	新加坡安海公会
ANAK BUKIT FLYOVER	安娜武吉立交桥
ANAK BUKIT UNDERPASS	安娜武吉地下车道
Analogue Switch-off (ASO)	模拟广播终止
Analogue TV signals	模拟电视信号
ANAMALAI AVENUE	安娜马来道
Anchor operator	主要业者
Anchor Operator Scheme (AOP)	主要业者计划
ANCHORVALE BRIDGE	安谷桥
ANCHORVALE CLOSE	安谷弄
Anchorvale Community Club	安谷民众俱乐部
ANCHORVALE CRESCENT	安谷弯
ANCHORVALE DRIVE	安谷通道
ANCHORVALE LANE	安谷巷
ANCHORVALE LINK	安谷连路
ANCHORVALE ROAD	安谷路
ANCHORVALE STREET	安谷街
ANCHORVALE WALK	安谷径
Ancillary support services	医疗保健辅助服务
ANDERSON BRIDGE	安德逊桥
ANDERSON ROAD	安徒生路
Andhra Pradesh Capital Region Plan	安得拉邦经商便利度总蓝图
ANDOVER ROAD	安多华路
ANDREW ROAD	安德烈路
ANDREWS AVENUE	安德烈道
ANDREWS TERRACE	安德烈台
Ang Hin Kee	洪鼎基
ANG MO KIO AVENUE 1	宏茂桥1道
ANG MO KIO AVENUE 10	宏茂桥10道
ANG MO KIO AVENUE 12	宏茂桥12道
ANG MO KIO AVENUE 2	宏茂桥2道
ANG MO KIO AVENUE 3	宏茂桥3道
ANG MO KIO AVENUE 4	宏茂桥4道
ANG MO KIO AVENUE 5	宏茂桥5道
ANG MO KIO AVENUE 6	宏茂桥6道
ANG MO KIO AVENUE 8	宏茂桥8道
ANG MO KIO AVENUE 9	宏茂桥9道
ANG MO KIO CENTRAL 1	宏茂桥中1路
ANG MO KIO CENTRAL 2	宏茂桥中2路
ANG MO KIO CENTRAL 3	宏茂桥中3路
ANG MO KIO CENTRAL FLYOVER	宏茂桥中立交桥
Ang Mo Kio Community Centre	宏茂桥民众联络所
ANG MO KIO DRIVE	宏茂桥通道
ANG MO KIO ELECTRONICS PARK ROAD	宏茂桥电子科技园路
Ang Mo Kio GRC	宏茂桥集选区
ANG MO KIO INDUSTRIAL PARK 1	宏茂桥工业区1路
ANG MO KIO INDUSTRIAL PARK 2	宏茂桥工业区2路
ANG MO KIO INDUSTRIAL PARK 2A	宏茂桥工业区2A路
Ang Mo Kio MRT Station	宏茂桥地铁站
ANG MO KIO NORTH FLYOVER	宏茂桥北立交桥
Ang Mo Kio Public Library (AMPL)	宏茂桥公共图书馆
ANG MO KIO SOUTH FLYOVER	宏茂桥南立交桥
ANG MO KIO STREET 11	宏茂桥11街
ANG MO KIO STREET 12	宏茂桥12街
ANG MO KIO STREET 13	宏茂桥13街
ANG MO KIO STREET 21	宏茂桥21街
ANG MO KIO STREET 22	宏茂桥22街
ANG MO KIO STREET 23	宏茂桥23街
ANG MO KIO STREET 24	宏茂桥24街
ANG MO KIO STREET 31	宏茂桥31街
ANG MO KIO STREET 32	宏茂桥32街
ANG MO KIO STREET 41	宏茂桥41街
ANG MO KIO STREET 42	宏茂桥42街
ANG MO KIO STREET 43	宏茂桥43街
ANG MO KIO STREET 44	宏茂桥44街
ANG MO KIO STREET 51	宏茂桥51街
ANG MO KIO STREET 52	宏茂桥52街
ANG MO KIO STREET 53	宏茂桥53街
ANG MO KIO STREET 54	宏茂桥54街
ANG MO KIO STREET 61	宏茂桥61街
ANG MO KIO STREET 62	宏茂桥62街
ANG MO KIO STREET 63	宏茂桥63街
ANG MO KIO STREET 64	宏茂桥64街
ANG MO KIO STREET 65	宏茂桥65街
ANG MO KIO STREET 66	宏茂桥66街
ANG MO KIO UNDERPASS	宏茂桥地下车道
Ang Wei Neng	洪维能
Angel Investors Tax Deduction Scheme (AITD)	天使投资者课税扣减计划
ANGKLONG LANE	安克弄巷
ANGORA CLOSE	安哥拉弄
ANGSANA AVENUE	安莎娜道
ANGSANA CRESCENT	安莎娜湾
ANGSANA ROAD	安莎娜路
ANGULLIA PARK	安哥烈园
ANGUS STREET	安格士街 (俗称潮洲栈巷)
Animal and Veterinary Service (AVS)	动物与兽医事务组
ANN SIANG HILL	安祥山 (俗称翠兰亭)
ANN SIANG ROAD	安祥路
Annual Emergency Preparedness Networking and Sharing Session	年度社区紧急应变交流会
Annual Income	年收入
Annual Report Press Conference	常年报告记者会
Annual Value of Home	住屋年值
Annual Variable Component (AVC)	常年可变动工资部分
Annual Wage Supplement (AWS)	常年工资补贴
Annual Withdrawal Limit	保健储蓄每年提款顶限
Annuity	年金
ANSON ROAD	安顺路
ANTHONY ROAD	安东尼路
Anti Littering programme	制止乱丢垃圾计划
Anti-Drug Abuse Campaign	反嗜毒运动
Anti-drug exhibitions and message	防毒教育展览和反毒讯息
Anti-forgery features	防止伪造的功能
Anti-Inhalant Abuse Centre Review Committee	防止滥用挥发剂检讨委员会
Anti-Unlicensed Money Lending Task Force	非法借贷取缔组
Anxiety	焦虑症
APEC Women and the Economy Forum (APEC WEF)	亚太经合组织妇女与经济论坛
API API FLYOVER	阿比阿比立交桥
API Exchange (APEX)	政府数据共享平台
Appeals	上诉
Appeals Panel	上诉委员会
Application for Passport Online Electronic System (APPLES)	护照网上申请系统
Application of English law Act	英国法律适用法令
Applied Health Sciences	应用保健科学
Applied Learning Programme (ALP)	应用学习项目
Applied Study in Polytechnics and ITE Review (ASPIRE)	理工学院及工艺教育局应用学习教育检讨
Apportionment Act	分摊法令
Apportionment of Rents Act	租金分摊法令
Apprenticeship Programme	建筑业技工实习计划
Approved Contract Manufacturer and Trader Scheme	特准承包制造商和贸易商计划
Approved Marine Customer Scheme (MCS)	特准海事顾客计划
Approved Marine Fuel Trader (MFT) Scheme	特许海运燃油商方案
Approved master tenant	获批准的总租户
Approving Authority (AA)	批准当局
ARAB STREET	亚拉街
Arbitration (International Investment Disputes) Act	仲裁（国际投资纠纷）法令
Arbitration Act	仲裁法令
ARCADIA ROAD	雅凯路
Archer-class Submarine	射手级潜水艇
Architectural Heritage Awards (AHA)	旧建筑修复工程优异奖
Architecture & Urban Design Excellence (AUDE)	卓越建筑与城市设计
ARCHITECTURE DRIVE	建筑通道
Archives Unlocked Series talk	揭秘国家档案系列讲座
ARDMORE PARK	阿摩园
ARMENIAN STREET	亚美尼亚街
Army	陆军
Army Intelligence	陆军情报处
Army Medical Services	陆军医药服务
Army Museum of Singapore	陆军博物馆
Army Officers Management Centre	陆军军官管理中心
ARNASALAM CHETTY ROAD	安娜莎南齐智路
AROOZOO AVENUE	阿鲁舒道
AROOZOO LANE	阿鲁舒巷
Arrest Without Trial	无需审讯的逮捕
Arson prevention plan	纵火防范计划
Art Garden	艺术庭院
Art in Transit	艺术之旅
ARTHUR ROAD	阿德路
Article	条款
Artificial Intelligence	人工智能
ARTILLERY AVENUE	炮队道
ARTILLERY CLOSE	炮队弄
ARTILLERY LINK	炮队连路
Artistic Excellence	卓越艺术
Artist-in-Residence	常驻艺术家
Artist-in-school Scheme	校园艺术家计划
Artist-Mentor Scheme	艺术家导师计划
ArtReach	艺术悦心计划
Arts & Culture 101 Programmes	“艺术文化101”活动
Arts & Culture Development Office	艺术与文化发展办事处
Arts & Culture Presentation Grant	艺术文化展演补助金
Arts Administrator	艺术工作者
Arts and Culture Education Master Plan	艺术文化教育总蓝图
Arts and Culture for Everyone, Everywhere and Everyday	人人艺术，处处艺术，时时艺术
Arts and Culture Strategic Review (ACSR)	艺术文化策略检讨
Arts Consultative Panel (ACP)	艺术咨询委员会
Arts Creation Fund	艺术创作基金
Arts Education Pedagogical Fund	艺术教育教学基金
Arts Education Programme	艺术教育计划
Arts Fest Club	艺术节俱乐部
Arts Festival Limited	艺术节公司
Arts for All	全民艺术普及计划
Arts Housing Scheme	艺术之家计划
Arts in the City	社区艺术
Arts in Your Neighbourhood	艺放邻里
ARTS LINK	文学连路
Arts Opportunity Fund	艺术机遇基金
Arts Spaces Framework and Grants Framework	艺术空间及津贴架构
Arts Supporter Award	艺术辅助奖
Arts venues and arts housing	艺术场地与艺术之家
Arts@Work Initiative	职场艺术计划
ArtsCultureSG	新加坡艺术文化网站
ARUMUGAM ROAD	阿鲁慕甘路
As-built Plan	竣工图
ASCOT RISE	爱士阁坡
ASEAN Centre for Biodiversity	亚细安生物多样性中心
ASEAN Civil Defence Skills Competition	亚细安民防竞技赛
ASEAN Commission on the Promotion and Protection of the Rights of Women and Children (ACWC)	亚细安维护妇幼权利委员会
ASEAN Connectivity Initiative	亚细安互联互通计划
ASEAN Consultative Committee on Standards and Quality (ACCSQ)	亚细安标准与质量咨询委员会
ASEAN Coordinating Centre	亚细安协调中心
ASEAN Coordinating Council Working Group (ACCWG)	亚细安协调理事会工作小组
ASEAN Customs Transit System (ACTS)	亚细安海关运输系统
ASEAN Defence Ministers' Meeting-Plus (ADMM-Plus)	亚细安加八国防部长会议
ASEAN Dengue Day	亚细安骨痛热症日
ASEAN Economic Community (AEC)	亚细安经济共同体
ASEAN Experts Group on Competition (AEGC)	亚细安竞争专家组
ASEAN Experts Group on Disaster Management (AEGDM)	亚细安灾难处理专家会议
ASEAN Framework Agreement on Services	亚细安服务业框架协议
ASEAN Innovation Network	亚细安创新网络
ASEAN Institute for Peace and Reconciliation	亚细安和平与和解学院
ASEAN Intergovernmental Commission on Human Rights	亚细安人权问题跨政府委员会
ASEAN Inter-Parliamentary Assembly (AIPA)	亚细安跨议会组织
ASEAN Leadership Programme	亚细安商务人才培育计划
ASEAN Ministerial Meeting on the Environment (AMME)	亚细安环境问题部长级会议
ASEAN Para Games	亚细安残疾人运动会
ASEAN Plus Three Environment Ministers Meeting (EMM)	亚细安加三环境部长会议
ASEAN Plus Three Macroeconomic Research Office (AMRO)	亚细安加三宏观经济研究办公室
ASEAN Political-Security Community Council Meeting	亚细安政治-安全共同体理事会会议
ASEAN Power Grid	亚细安电网计划
ASEAN Specialised Meteorological Centre	亚细安气象中心
ASEAN Trading Link	亚细安交易连结
ASEAN-Australia-New Zealand Free Trade Area (AANZFTA)	亚细安-澳洲-纽西兰自由贸易区
ASEAN-China Free Trade Area	亚细安-中国自由贸易区
ASEAN-India Free Trade Agreement (AIFTA)	亚细安-印度自由贸易协定
ASEAN-Japan Comprehensive Economic Partnership (AJCEP)	亚细安-日本全面经济伙伴关系架构协议
ASEAN-Korea Free Trade Agreement (AKFTA)	亚细安-韩国自由贸易协定
ASEAN-Ministerial Meeting on Youth (AMMY)	亚细安-青年问题部长级会议
ASH GROVE	白杨林
ASHWOOD GROVE	白杨木林
Asia Infrastructure Centre of Excellence	亚洲基础设施卓越中心
Asian Civilisations Museum (ACM)	亚洲文明博物馆
Asian Film Archive	亚洲电影资料馆
Asian Productivity Organization (APO)	亚洲生产力组织
Asian Productivity Organization Centre of Excellence for Business Excellence	亚洲生产力组织优化业务卓越中心
Asia-Pacific Economic Cooperation Subcommittee on Standards & Conformance (APEC SCSC)	亚太经济合作组织标准与合格评定小组委员会
Asia-Pacific Economic Corporation (APEC)	亚太经济合作组织
Asia-Pacific Laboratory Accreditation Cooperation (APLAC)	亚太实验室认可合作组织
Asia-Singapore Infrastructure Roundtable	亚洲-新加坡基础设施圆桌论坛
ASIMONT LANE	爱西蒙巷
Ask Kopi Kakis booklets	问问咖啡友-政府政策，简单说明书
ASPIRE-Paths to a brighter future: Better choices, Deeper skills, Multiple paths	ASPIRE-迈向未来更美好未来的途径：做出更好的抉择，掌握更深层次的技能，提供更多元的途径
Assessable income	估税入息
Assessable income for YA2013	2013估税年可估税收入
Asset Inventory System	资产管理系统
Assistant Auditor-General	助理审计长
Assistant Chief of the General Staff (Intelligence)	陆军助理参谋长（情报）
Assistant Chief of the General Staff (Operations)	陆军助理参谋长（作战）
Assistant Chief of the General Staff (Personnel)	陆军助理参谋长（人事）
Assistant Chief of the General Staff (Plans)	陆军助理参谋长（策划）
Assistant Chief of the General Staff (Training)	陆军助理参谋长（训练）
Assistant Commissioner	助理总监
Assistant Commissioner Of Police	助理警察总监
Assistant Principal Private Secretary to the President	总统助理首席私人秘书
Assistant Registrar	助理主簿
Assistant Returning Officer (ARO)	助理选举官
Assistant Superintendent	助理监察
Assistant Superintendent of Prisons	助理狱所长
Assisted Compliance Assurance Programme (ACAP)	消费税履行确保协议
Assistive devices	辅助仪器
Assistive Technology Fund	科技辅助基金
Assoc Prof Daniel Goh Pei Siong	吴佩松副教授
Assoc Prof Dr Muhammad Faishal Ibrahim	费绍尔副教授
Assoc Prof Dr Muhammad Faishal Ibrahim, Senior Parliamentary Secretary, Ministry of Social and Family Development & Ministry of Education	社会及家庭发展部兼教育部高级政务次长费绍尔副教授
Assoc Prof Dr Walter Theseira	特斯拉副教授
Assoc Prof Dr Yaacob Ibrahim	雅国博士
Assoc Prof Fatimah Lateef	花蒂玛医生
Associate of the Arts Award	艺术伙伴奖
Association of Asian Performing Arts Festivals	亚洲表演艺术节协会
Association of Criminal Lawyers of Singapore	刑事律师协会
Association of Process Industry (ASPRI)	制药及石油化工业协会
Association of Regional Ferry Operators	区域渡船运营商协会
Association of Singapore Attractions	新加坡旅游胜地协会
Association of Singapore Marine Industries (ASMI)	新加坡海事工业协会
Association of Small and Medium Enterprises (ASME)	中小型企业协会
Association of the Wong Clan of Toishan	新加坡台山黄家馆
Association of Women for Action and Research (AWARE)	妇女行动与研究协会
Assurity Trusted Solutions Pte Ltd (Assurity)	保信方案有限公司
Asthma	哮喘
ASTRID HILL	爱士特山
ATTAP VALLEY ROAD	亚答谷路
Attorney General	总检察长
Attorney-General's Chambers (AGC)	总检察署
AUCKLAND ROAD EAST	奥克兰东路
AUCKLAND ROAD WEST	奥克兰西路
Auditor-General	审计长
Auditor-General's Office (AGO)	审计署
Augmented Reality	增强现实功能
Authorised Verifier Scheme (AV Scheme)	指定验证机构计划
Autism Resource Centre	新加坡自闭症资源中心
Auto inclusion scheme (AIS)	雇用入息自动纳入计划
Auto-cover letter (letters that will be sent to the uninsured)	自动受保通知书 (给予目前没有投保任何医疗保险的国人)
Autoimmune/ Immune System diseases	自身免疫/免疫系统疾病
Automated External Defibrillator (AED)	自动体外除顫器
Automated Fingerprint Identification System	自动化指纹鉴定系统
Automatic External Defibrillators	自动体外除颤器
Automatically/no need to sign-up	自动/无需提出申请
Automation Support Package	自动化辅助配套
Auxiliary Police Force	辅警部队
AV of residence	住屋年值
AVA ROAD	爱花路
Average monthly electricity consumption (kWh)	月均用电量（千瓦时）
Average Quantity System (AQS)	平均含量制度
Aviation Community Reception (ACR)	宇航界招待晚宴
Aviation Development Fund (ADF)	航空发展基金
AVIATION DRIVE	航空通道
AVIATION EAST DRIVE	航空东通道
Aviation Horizons Scholarship (AHS)	航空业视野奖学金
Aviation in Schools Initiative (ASI)	校园航空业推广计划
Aviation Innovation Programme (AIP)	航空革新计划
Aviation Leaders Development Programme (ALDP)	航空领导发展计划
Aviation Learning Journey (ALJ)	航空业学习之旅
Aviation Manpower Programme (AMP)	航空业人力计划
Aviation Open House (AOH)	航空开放日
AVIATION PARK ROAD	航空园路
Aviation Partnership Programme (APP)	航空伙伴计划
Aviation Promotion Programme (AProP)	航空提升计划
Aviation Transformation Programme	航空业转型计划
Avoidance of Double-Taxation Agreement	避免双重课税协定
AVON ROAD	爱文路
Aye	赞成
AYER CHAWAN PLACE	亚逸茶碗坊
AYER MERBAU ROAD	亚逸慕宝路
AYER RAJAH AVENUE	亚逸拉惹道
Ayer Rajah Camp	亚逸拉惹军营
Ayer Rajah Community Centre	亚逸拉惹民众联络所
AYER RAJAH CRESCENT	亚逸拉惹弯
AYER RAJAH EXPRESSWAY	亚逸拉惹快速公路
BABOO LANE	巴布巷
Baby Bonus	婴儿花红
Baby Bonus Scheme (BBS)	婴儿花红计划
Bachelor in Early Childhood Education with Management	幼儿教育管理学士课程
Bachelor of Arts in Early Childhood and Chinese Language	幼儿教育与华文学士课程
Bachelor of Early Childhood Education with Management	幼儿教育管理学士课程
Back Bencher	后座议员
Back to School Programme	重返校园计划
Baey Yam Keng	马炎庆
BAGHDAD STREET	巴布达街
BAH SOON PAH ROAD	巴顺芭路
BAHAR FLYOVER	巴哈立交桥
Bail Centre	保释中心
BAIN STREET	培英街
Bakau LRT Station	码高轻轨列车站
BAKER STREET	贝克街
BALAM ROAD	巴南路
BALESTIER ROAD	马里士他路
BALI LANE	巴厘巷(俗称旧巴厘)
Ballot Box	投票箱
Ballot paper	选票
BALMEG HILL	芭美山
BALMORAL CRESCENT	巴慕乐弯
BALMORAL PARK	巴慕乐园
BALMORAL ROAD	巴慕乐路
Baltic and International Maritime Council (BIMCO)	波罗的海及国际海事理事会
BAN SAN STREET	万山街
BANDA STREET	万达街
Bandana	方巾
Bangkit LRT Station	万吉轻轨列车站
BANGKIT ROAD	万吉路
Bankruptcy Act	破产法令
BANYAN AVENUE	榕树道
BANYAN DRIVE	榕树通道
BANYAN PLACE	榕树坊
BANYAN ROAD	榕树路
BANYAN VIEW	榕树景
Bar of the House	国会围栏
BARBARY WALK	巴巴里径
BARKER ROAD	巴克路
Barrier free Accessibility (BFA)	无障碍通行
Barrier-Free Accessibility	无障碍通行
Barrier-Free Accessibility Programme	无障碍通行计划
Bartley MRT Station	巴特礼地铁站
BARTLEY ROAD	巴特礼路
BARTLEY ROAD EAST	巴特礼东路
BARTLEY VIADUCT	巴特礼高架桥
BARTLEY WALK	巴特礼径
Base Erosion and Profit Shifting (BEPS) initiative	税基侵蚀和利润转移计划
Base premium	基本保费
Basic Cardiac Life Support	基本心脏生命支持
Basic Digital Access Pilot	基本数码共享配套试点计划
Basic Driving Theory Test	基本驾驶理论考试
Basic Healthcare Insurance Scheme	基本医疗保险计划
Basic Military Training (BMT)	基本军事训练
Basic Military Training Graduation Parade	基本军训毕业礼
Basic needs	基本需求
Basic Officer Course	初级消防官课程
Basic Rescue Training Centre	基本救援训练中心
Basic Retirement Sum	基本存款
Basic Training	基础培训
BASSEIN ROAD	百胜路
BATH ROAD	白士路
BATTERY ROAD	百得利路
Bay Celebrations	滨海湾亮灯迎国庆
BAYFRONT AVENUE	海湾道
BAYFRONT BRIDGE	海湾桥
BAYFRONT LANE 1	海湾1巷
BAYFRONT LANE 2	海湾2巷
BAYFRONT LANE 3	海湾3巷
BAYFRONT LINK	海湾连路
BAYFRONT LOOP	海湾环道
Bayfront MRT Station	海湾舫地铁站
BAYSHORE ROAD	碧湾路
BCA Academy	新加坡建设专科学院
BCA Awards	建设局常年建筑奖
BCA Building Energy Benchmarking Report	建设局建筑节能基准报告
