Top 10 Country,Country,Type of Visa
South Korea,Congo,visa required
South Korea,Congo (Dem. Rep.),visa required
South Korea,Costa Rica,visa-free
South Korea,Cote d'Ivoire (Ivory Coast),visa on arrival / eVisa
South Korea,Croatia,visa-free
South Korea,Cuba,visa required
South Korea,Cyprus,visa-free
South Korea,Czechia,visa-free
South Korea,Denmark,visa-free
South Korea,Djibouti,visa on arrival
South Korea,Dominica,visa-free
South Korea,Dominican Republic,visa-free
South Korea,Ecuador,visa-free
South Korea,Egypt,visa on arrival
South Korea,El Salvador,visa-free
South Korea,Equatorial Guinea,visa required
South Korea,Eritrea,visa required
South Korea,Estonia,visa-free
South Korea,Ethiopia,visa on arrival
South Korea,Fiji,visa-free
South Korea,Finland,visa-free
South Korea,France,visa-free
South Korea,Gabon,visa required / eVisa
South Korea,Gambia,visa-free
South Korea,Georgia,visa-free
South Korea,Germany,visa-free
South Korea,Ghana,visa required
South Korea,Greece,visa-free
South Korea,Grenada,visa-free
South Korea,Guatemala,visa-free
South Korea,Guinea,visa required
South Korea,Guinea-Bissau,visa on arrival
South Korea,Guyana,visa-free
South Korea,Haiti,visa-free
South Korea,Honduras,visa-free
South Korea,Hong Kong,visa-free
South Korea,Hungary,visa-free
South Korea,Iceland,visa-free
South Korea,India,e-Visa
South Korea,Indonesia,visa-free
South Korea,Iran,visa on arrival
South Korea,Iraq,visa required
South Korea,Ireland,visa-free
South Korea,Israel,visa-free
South Korea,Italy,visa-free
South Korea,Jamaica,visa-free
South Korea,Japan,visa-free
South Korea,Jordan,visa on arrival
South Korea,Kazakhstan,visa-free
South Korea,Kenya,visa on arrival / eVisa
South Korea,Kiribati,visa-free
South Korea,Kosovo,visa-free
South Korea,Kuwait,visa on arrival / eVisa
South Korea,Kyrgyzstan,visa-free
South Korea,Laos,visa-free
South Korea,Latvia,visa-free
South Korea,Lebanon,visa on arrival
South Korea,Lesotho,visa-free
South Korea,Liberia,visa-free
South Korea,Libya,visa required
South Korea,Liechtenstein,visa-free
South Korea,Lithuania,visa-free
South Korea,Luxembourg,visa-free
South Korea,Macao,visa-free
South Korea,Macedonia (FYROM),visa-free
South Korea,Madagascar,visa on arrival
South Korea,Malawi,visa on arrival
South Korea,Malaysia,visa-free
South Korea,Maldives,visa on arrival
South Korea,Mali,visa required
South Korea,Malta,visa-free
South Korea,Marshall Islands,visa on arrival
South Korea,Mauritania,visa on arrival
South Korea,Mauritius,visa-free
South Korea,Mexico,visa-free
South Korea,Micronesia,visa-free
South Korea,Moldova,visa-free
South Korea,Monaco,visa-free
South Korea,Mongolia,visa required
South Korea,Montenegro,visa-free
South Korea,Morocco,visa-free
South Korea,Mozambique,visa on arrival
South Korea,Myanmar [Burma],visa required / eVisa
South Korea,Namibia,visa required
South Korea,Nauru,visa required
South Korea,Nepal,visa on arrival
South Korea,Netherlands,visa-free
South Korea,New Zealand,visa-free
South Korea,Nicaragua,visa-free
South Korea,Niger,visa required
South Korea,Nigeria,visa required
South Korea,North Korea,visa required
South Korea,Norway,visa-free
South Korea,Oman,visa on arrival
South Korea,Pakistan,visa required
South Korea,Palau,visa on arrival
South Korea,Palestinian Territories,visa-free
South Korea,Panama,visa-free
South Korea,Papua New Guinea,visa on arrival
South Korea,Paraguay,visa-free
South Korea,Peru,visa-free
South Korea,Philippines,visa-free
South Korea,Poland,visa-free
South Korea,Portugal,visa-free
South Korea,Qatar,Visa waiver on arrival
South Korea,Romania,visa-free
South Korea,Russian Federation,visa-free
South Korea,Rwanda,visa required / eVisa
South Korea,Saint Kitts and Nevis,visa-free
South Korea,Saint Lucia,visa-free
South Korea,Samoa,visa on arrival
South Korea,San Marino,visa-free
South Korea,Sao Tome and Principe,visa-free
South Korea,Saudi Arabia,visa required
South Korea,Senegal,visa-free
South Korea,Serbia,visa-free
South Korea,Seychelles,visitor’s permit
South Korea,Sierra Leone,visa required
South Korea,Singapore,visa-free
South Korea,Slovakia,visa-free
South Korea,Slovenia,visa-free
South Korea,Solomon Islands,visa on arrival
South Korea,Somalia,visa required
South Korea,South Africa,visa-free
South Korea,South Korea,
South Korea,South Sudan,visa required
South Korea,Spain,visa-free
South Korea,Sri Lanka,eTA
South Korea,St. Vincent and the Grenadines,visa-free
South Korea,Sudan,visa required
South Korea,Suriname,visa-free
South Korea,Swaziland,visa-free
South Korea,Sweden,visa-free
South Korea,Switzerland,visa-free
South Korea,Syria,visa required
South Korea,Taiwan,visa-free
South Korea,Tajikistan,visa required
South Korea,Tanzania,visa on arrival
South Korea,Thailand,visa-free
South Korea,Timor-Leste,visa on arrival
South Korea,Togo,visa on arrival
South Korea,Tonga,visa on arrival
South Korea,Trinidad and Tobago,visa-free
South Korea,Tunisia,visa-free
South Korea,Turkey,visa-free
South Korea,Turkmenistan,visa required
South Korea,Tuvalu,visa on arrival
South Korea,Uganda,visa on arrival
South Korea,Ukraine,visa-free
South Korea,United Arab Emirates,visa on arrival
South Korea,United Kingdom,visa-free
South Korea,United States of America,eTA
South Korea,Uruguay,visa-free
South Korea,Uzbekistan,visa required
South Korea,Vanuatu,visa-free
South Korea,Vatican City,visa-free
South Korea,Venezuela,visa-free
South Korea,Viet Nam,visa-free
South Korea,Yemen,visa required
South Korea,Zambia,visa on arrival
South Korea,Zimbabwe,visa on arrival
Sweden,Afghanistan,visa required
Sweden,Albania,visa-free
Sweden,Algeria,visa required
Sweden,Andorra,visa-free
Sweden,Angola,visa required
Sweden,Antigua and Barbuda,visa-free
Sweden,Argentina,visa-free
Sweden,Armenia,visa-free
Sweden,Australia,eTA
Sweden,Austria,visa-free
Sweden,Azerbaijan,visa required / eVisa
Sweden,Bahamas,visa-free
Sweden,Bahrain,visa on arrival
Sweden,Bangladesh,visa on arrival
Sweden,Barbados,visa-free
Sweden,Belarus,visa-free
Sweden,Belgium,visa-free
Sweden,Belize,visa-free
Sweden,Benin,visa required
Sweden,Bhutan,visa required
Sweden,Bolivia,visa-free
Sweden,Bosnia and Herzegovina,visa-free
Sweden,Botswana,visa-free
Sweden,Brazil,visa-free
Sweden,Brunei,visa-free
Sweden,Bulgaria,visa-free
Sweden,Burkina Faso,visa on arrival
Sweden,Burundi,visa required
Sweden,Cambodia,visa on arrival / eVisa
Sweden,Cameroon,visa required
Sweden,Canada,eTA
Sweden,Cape Verde,visa on arrival
Sweden,Central African Republic,visa required
Sweden,Chad,visa required
Sweden,Chile,visa-free
Sweden,China,visa required
Sweden,Colombia,visa-free
Sweden,Comoros,visa on arrival
Sweden,Congo,visa required
Sweden,Congo (Dem. Rep.),visa required
Sweden,Costa Rica,visa-free
Sweden,Cote d'Ivoire (Ivory Coast),visa on arrival / eVisa
Sweden,Croatia,visa-free
Sweden,Cuba,visa required
Sweden,Cyprus,visa-free
Sweden,Czechia,visa-free
Sweden,Denmark,visa-free
Sweden,Djibouti,visa on arrival
Sweden,Dominica,visa-free
Sweden,Dominican Republic,visa-free
Sweden,Ecuador,visa-free
Sweden,Egypt,visa on arrival
Sweden,El Salvador,visa-free
Sweden,Equatorial Guinea,visa required
Sweden,Eritrea,visa required
Sweden,Estonia,visa-free
Sweden,Ethiopia,visa on arrival
Sweden,Fiji,visa-free
Sweden,Finland,visa-free
Sweden,France,visa-free
Sweden,Gabon,visa required / eVisa
Sweden,Gambia,visa-free
Sweden,Georgia,visa-free
Sweden,Germany,visa-free
Sweden,Ghana,visa required
Sweden,Greece,visa-free
Sweden,Grenada,visa-free
Sweden,Guatemala,visa-free
Sweden,Guinea,visa required
Sweden,Guinea-Bissau,visa on arrival
Sweden,Guyana,visa-free
Sweden,Haiti,visa-free
Sweden,Honduras,visa-free
Sweden,Hong Kong,visa-free
Sweden,Hungary,visa-free
Sweden,Iceland,visa-free
Sweden,India,e-Visa
Sweden,Indonesia,visa-free
Sweden,Iran,visa on arrival
Sweden,Iraq,visa required
Sweden,Ireland,visa-free
Sweden,Israel,visa-free
Sweden,Italy,visa-free
Sweden,Jamaica,visa-free
Sweden,Japan,visa-free
Sweden,Jordan,visa on arrival
Sweden,Kazakhstan,visa-free
Sweden,Kenya,visa on arrival / eVisa
Sweden,Kiribati,visa-free
Sweden,Kosovo,visa-free
Sweden,Kuwait,visa on arrival / eVisa
Sweden,Kyrgyzstan,visa-free
Sweden,Laos,visa on arrival
Sweden,Latvia,visa-free
Sweden,Lebanon,visa on arrival
Sweden,Lesotho,visa-free
Sweden,Liberia,visa required
Sweden,Libya,visa required
Sweden,Liechtenstein,visa-free
Sweden,Lithuania,visa-free
Sweden,Luxembourg,visa-free
Sweden,Macao,visa-free
Sweden,Macedonia (FYROM),visa-free
Sweden,Madagascar,visa on arrival
Sweden,Malawi,visa on arrival
Sweden,Malaysia,visa-free
Sweden,Maldives,visa on arrival
Sweden,Mali,visa required
Sweden,Malta,visa-free
Sweden,Marshall Islands,visa-free
Sweden,Mauritania,visa on arrival
Sweden,Mauritius,visa-free
Sweden,Mexico,visa-free
Sweden,Micronesia,visa-free
Sweden,Moldova,visa-free
Sweden,Monaco,visa-free
Sweden,Mongolia,visa required
Sweden,Montenegro,visa-free
Sweden,Morocco,visa-free
Sweden,Mozambique,visa on arrival
Sweden,Myanmar [Burma],visa required / eVisa
Sweden,Namibia,visa-free
Sweden,Nauru,visa required
Sweden,Nepal,visa on arrival
Sweden,Netherlands,visa-free
Sweden,New Zealand,visa-free
Sweden,Nicaragua,visa-free
Sweden,Niger,visa required
Sweden,Nigeria,visa required
Sweden,North Korea,visa required
Sweden,Norway,visa-free
Sweden,Oman,visa on arrival
Sweden,Pakistan,visa required
Sweden,Palau,visa-free
Sweden,Palestinian Territories,visa-free
Sweden,Panama,visa-free
Sweden,Papua New Guinea,visa on arrival
Sweden,Paraguay,visa-free
Sweden,Peru,visa-free
Sweden,Philippines,visa-free
Sweden,Poland,visa-free
Sweden,Portugal,visa-free
Sweden,Qatar,Visa waiver on arrival
Sweden,Romania,visa-free
Sweden,Russian Federation,visa required
Sweden,Rwanda,visa on arrival
Sweden,Saint Kitts and Nevis,visa-free
Sweden,Saint Lucia,visa-free
Sweden,Samoa,visa-free
Sweden,San Marino,visa-free
Sweden,Sao Tome and Principe,visa-free
Sweden,Saudi Arabia,visa required
Sweden,Senegal,visa-free
Sweden,Serbia,visa-free
Sweden,Seychelles,visitor’s permit
Sweden,Sierra Leone,visa required
Sweden,Singapore,visa-free
Sweden,Slovakia,visa-free
Sweden,Slovenia,visa-free
Sweden,Solomon Islands,visa-free
Sweden,Somalia,visa required
Sweden,South Africa,visa-free
Sweden,South Korea,visa-free
Sweden,South Sudan,visa required
Sweden,Spain,visa-free
Sweden,Sri Lanka,eTA
Sweden,St. Vincent and the Grenadines,visa-free
Sweden,Sudan,visa required
Sweden,Suriname,visa on arrival
Sweden,Swaziland,visa-free
Sweden,Sweden,
Sweden,Switzerland,visa-free
Sweden,Syria,visa required
Sweden,Taiwan,visa-free
Sweden,Tajikistan,visa required
Sweden,Tanzania,visa on arrival
Sweden,Thailand,visa-free
Sweden,Timor-Leste,visa-free
Sweden,Togo,visa on arrival
Sweden,Tonga,visa-free
Sweden,Trinidad and Tobago,visa-free
Sweden,Tunisia,visa-free
Sweden,Turkey,visa-free
Sweden,Turkmenistan,visa required
Sweden,Tuvalu,visa-free
Sweden,Uganda,visa on arrival
Sweden,Ukraine,visa-free
Sweden,United Arab Emirates,visa-free
Sweden,United Kingdom,visa-free
Sweden,United States of America,eTA
Sweden,Uruguay,visa-free
Sweden,Uzbekistan,visa required
Sweden,Vanuatu,visa-free
Sweden,Vatican City,visa-free
Sweden,Venezuela,visa-free
Sweden,Viet Nam,visa-free
Sweden,Yemen,visa required
Sweden,Zambia,visa on arrival
Sweden,Zimbabwe,visa on arrival
Denmark,Afghanistan,visa required
Denmark,Albania,visa-free
Denmark,Algeria,visa required
Denmark,Andorra,visa-free
Denmark,Angola,visa required
Denmark,Antigua and Barbuda,visa-free
Denmark,Argentina,visa-free
Denmark,Armenia,visa-free
Denmark,Australia,eTA
Denmark,Austria,visa-free
Denmark,Azerbaijan,visa required / eVisa
Denmark,Bahamas,visa-free
Denmark,Bahrain,visa on arrival
Denmark,Bangladesh,visa on arrival
Denmark,Barbados,visa-free
Denmark,Belarus,visa-free
Denmark,Belgium,visa-free
Denmark,Belize,visa-free
Denmark,Benin,visa required
Denmark,Bhutan,visa required
Denmark,Bolivia,visa-free
Denmark,Bosnia and Herzegovina,visa-free
Denmark,Botswana,visa-free
Denmark,Brazil,visa-free
Denmark,Brunei,visa-free
Denmark,Bulgaria,visa-free
Denmark,Burkina Faso,visa on arrival
Denmark,Burundi,visa required
Denmark,Cambodia,visa on arrival / eVisa
Denmark,Cameroon,visa required
Denmark,Canada,eTA
Denmark,Cape Verde,visa on arrival
Denmark,Central African Republic,visa required
Denmark,Chad,visa required
Denmark,Chile,visa-free
Denmark,China,visa required
Denmark,Colombia,visa-free
Denmark,Comoros,visa on arrival
Denmark,Congo,visa required
Denmark,Congo (Dem. Rep.),visa required
Denmark,Costa Rica,visa-free
Denmark,Cote d'Ivoire (Ivory Coast),visa on arrival / eVisa
Denmark,Croatia,visa-free
Denmark,Cuba,visa required
Denmark,Cyprus,visa-free
Denmark,Czechia,visa-free
Denmark,Denmark,
Denmark,Djibouti,visa on arrival
Denmark,Dominica,visa-free
Denmark,Dominican Republic,visa-free
Denmark,Ecuador,visa-free
Denmark,Egypt,visa on arrival
Denmark,El Salvador,visa-free
Denmark,Equatorial Guinea,visa required
Denmark,Eritrea,visa required
Denmark,Estonia,visa-free
Denmark,Ethiopia,visa on arrival
Denmark,Fiji,visa-free
Denmark,Finland,visa-free
Denmark,France,visa-free
Denmark,Gabon,visa required / eVisa
Denmark,Gambia,visa-free
Denmark,Georgia,visa-free
Denmark,Germany,visa-free
Denmark,Ghana,visa required
Denmark,Greece,visa-free
Denmark,Grenada,visa-free
Denmark,Guatemala,visa-free
Denmark,Guinea,visa required
Denmark,Guinea-Bissau,visa on arrival
Denmark,Guyana,visa-free
Denmark,Haiti,visa-free
Denmark,Honduras,visa-free
Denmark,Hong Kong,visa-free
Denmark,Hungary,visa-free
Denmark,Iceland,visa-free
